Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 11:36:40,-90,10,24726,2
2026-06-12 11:37:40,-93,8.800000190734863,24727,2
2026-06-12 11:38:40,-87,9.5,24728,2
2026-06-12 11:39:40,-89,9.5,24729,2
2026-06-12 11:40:40,-91,10.300000190734863,24730,2
2026-06-12 11:41:40,-91,11.300000190734863,24731,2
2026-06-12 11:42:40,-90,9.800000190734863,24732,2
2026-06-12 11:43:40,-89,9.5,24733,2
2026-06-12 11:44:40,-91,9.5,24734,2
2026-06-12 11:45:40,-89,10,24735,2
2026-06-12 11:46:40,-88,10,24736,2
2026-06-12 11:47:40,-88,10.5,24737,2
2026-06-12 11:48:39,-91,9.5,24738,2
2026-06-12 11:49:40,-86,10.5,24739,2
2026-06-12 11:50:39,-89,10.300000190734863,24740,2
2026-06-12 11:51:40,-90,11.300000190734863,24741,2
2026-06-12 11:52:39,-88,10.5,24742,2
2026-06-12 11:53:40,-89,9.5,24743,2
2026-06-12 11:54:39,-91,8.5,24744,2
2026-06-12 11:55:39,-88,9.300000190734863,24745,2
2026-06-12 11:56:39,-88,9.300000190734863,24746,2
2026-06-12 11:57:40,-90,7.800000190734863,24747,2
2026-06-12 11:58:39,-89,10,24748,2
2026-06-12 11:59:40,-88,10,24749,2
2026-06-12 12:00:40,-90,9,24750,2
2026-06-12 12:01:40,-88,11,24751,2
2026-06-12 12:02:39,-91,10.300000190734863,24752,2
2026-06-12 12:03:40,-88,10.300000190734863,24753,2
2026-06-12 12:04:40,-92,11.800000190734863,24754,2
2026-06-12 12:05:39,-92,8.800000190734863,24755,2
2026-06-12 12:06:40,-89,9.5,24756,2
2026-06-12 12:07:40,-90,11.5,24757,2
2026-06-12 12:08:39,-87,10.300000190734863,24758,2
2026-06-12 12:09:40,-92,9.5,24759,2
2026-06-12 12:10:40,-91,10.300000190734863,24760,2
2026-06-12 12:11:40,-93,9.300000190734863,24761,2
2026-06-12 12:12:39,-90,6.300000190734863,24762,2
2026-06-12 12:13:39,-93,10,24763,2
2026-06-12 12:14:40,-91,10.300000190734863,24764,2
2026-06-12 12:15:39,-92,9.800000190734863,24765,2
2026-06-12 12:16:39,-93,8.800000190734863,24766,2
2026-06-12 12:17:39,-89,9.800000190734863,24767,2
2026-06-12 12:18:39,-88,11,24768,2
2026-06-12 12:19:39,-90,10,24769,2
2026-06-12 12:20:40,-90,11.300000190734863,24770,2
2026-06-12 12:21:40,-89,10.300000190734863,24771,2
2026-06-12 12:22:39,-91,10.300000190734863,24772,2
2026-06-12 12:23:39,-87,11.800000190734863,24773,2
2026-06-12 12:24:40,-88,10.5,24774,2
2026-06-12 12:25:40,-94,8.300000190734863,24775,2
2026-06-12 12:26:40,-90,11.5,24776,2
2026-06-12 12:27:39,-87,11.800000190734863,24777,2
2026-06-12 12:28:39,-89,8.800000190734863,24778,2
2026-06-12 12:29:39,-91,10,24779,2
2026-06-12 12:30:39,-90,10.300000190734863,24780,2
2026-06-12 12:31:40,-93,8.300000190734863,24781,2
2026-06-12 12:32:39,-90,10.800000190734863,24782,2
2026-06-12 12:33:39,-90,9.5,24783,2
2026-06-12 12:34:40,-88,3.5,24784,2
2026-06-12 12:35:40,-89,10.300000190734863,24785,2
2026-06-12 12:36:40,-89,10.300000190734863,24786,2
2026-06-12 12:37:40,-89,10.800000190734863,24787,2
2026-06-12 12:38:40,-90,10,24788,2
2026-06-12 12:39:40,-91,10.800000190734863,24789,2
2026-06-12 12:40:40,-90,8,24790,2
2026-06-12 12:41:39,-91,10,24791,2
2026-06-12 12:42:39,-91,9.800000190734863,24792,2
2026-06-12 12:43:39,-88,10.5,24793,2
2026-06-12 12:44:39,-90,9.5,24794,2
2026-06-12 12:45:40,-88,10.800000190734863,24795,2
2026-06-12 12:46:40,-91,9.800000190734863,24796,2
2026-06-12 12:47:40,-90,10.800000190734863,24797,2
2026-06-12 12:48:39,-89,9.800000190734863,24798,2
2026-06-12 12:49:39,-92,9.5,24799,2
2026-06-12 12:50:40,-88,9.5,24800,2
2026-06-12 12:51:40,-90,9.800000190734863,24801,2
2026-06-12 12:52:39,-91,10.800000190734863,24802,2
2026-06-12 12:53:40,-90,9,24803,2
2026-06-12 12:54:40,-90,8.800000190734863,24804,2
2026-06-12 12:55:40,-91,9.300000190734863,24805,2
2026-06-12 12:56:39,-90,9.300000190734863,24806,2
2026-06-12 12:57:39,-89,10,24807,2
2026-06-12 12:58:40,-89,9.5,24808,2
2026-06-12 12:59:39,-91,6.300000190734863,24809,2
2026-06-12 13:00:39,-92,9.300000190734863,24810,2
2026-06-12 13:01:39,-89,9.800000190734863,24811,2
2026-06-12 13:02:39,-93,10,24812,2
2026-06-12 13:03:39,-88,6.800000190734863,24813,2
