"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"65","2026-06-07 10:47:49","20.72","50","1020","1.69","311","8","0","-22.8215","-47.0694"
"66","2026-06-07 10:57:49","20.72","50","1020","1.69","311","8","0","-22.8215","-47.0694"
"67","2026-06-07 11:07:49","20.72","50","1020","1.69","311","8","0","-22.8215","-47.0694"
"68","2026-06-07 11:17:49","20.72","50","1020","1.69","311","8","0","-22.8215","-47.0694"
"69","2026-06-07 11:27:49","20.72","50","1020","1.69","311","8","0","-22.8215","-47.0694"
"70","2026-06-07 11:37:49","20.72","47","1019","2.2","293","7","0","-22.8215","-47.0694"
"71","2026-06-07 11:47:49","20.72","47","1019","2.2","293","7","0","-22.8215","-47.0694"
"72","2026-06-07 11:57:49","21.27","45","1019","2.2","293","7","0","-22.8215","-47.0694"
"73","2026-06-07 12:07:49","21.27","45","1019","2.2","293","7","0","-22.8215","-47.0694"
"74","2026-06-07 12:17:49","21.27","45","1020","2.2","293","7","0","-22.8215","-47.0694"
"75","2026-06-07 12:27:49","21.27","44","1020","2.2","293","7","0","-22.8215","-47.0694"
"76","2026-06-07 12:37:49","21.27","44","1020","2.2","293","7","0","-22.8215","-47.0694"
"77","2026-06-07 12:47:49","21.83","39","1017","1.99","280","12","0","-22.8215","-47.0694"
"78","2026-06-07 12:57:49","21.83","39","1017","1.99","280","12","0","-22.8215","-47.0694"
"79","2026-06-07 13:07:49","23.8","35","1017","1.99","280","12","0","-22.8215","-47.0694"
"80","2026-06-07 13:17:49","23.8","35","1017","1.99","280","12","0","-22.8215","-47.0694"
"81","2026-06-07 13:27:49","23.8","34","1018","1.99","280","12","0","-22.8215","-47.0694"
"82","2026-06-07 13:37:49","23.8","34","1016","2.21","269","15","0","-22.8215","-47.0694"
"83","2026-06-07 13:47:49","23.8","34","1017","2.21","269","15","0","-22.8215","-47.0694"
"84","2026-06-07 13:57:49","23.8","34","1017","2.21","269","15","0","-22.8215","-47.0694"
"85","2026-06-07 14:07:49","23.8","34","1017","2.21","269","15","0","-22.8215","-47.0694"
"86","2026-06-07 14:17:49","23.47","35","1017","2.21","269","15","0","-22.8215","-47.0694"
"87","2026-06-07 14:27:49","23.47","35","1017","2.21","269","15","0","-22.8215","-47.0694"
"88","2026-06-07 14:37:49","23.69","36","1016","1.87","267","21","0","-22.8215","-47.0694"
"89","2026-06-07 14:47:49","23.69","37","1016","1.87","267","21","0","-22.8215","-47.0694"
"90","2026-06-07 14:57:49","23.69","37","1016","1.87","267","21","0","-22.8215","-47.0694"
"91","2026-06-07 15:07:49","23.91","37","1016","1.84","258","6","0","-22.8215","-47.0694"
"92","2026-06-07 15:17:49","23.91","37","1016","1.84","258","6","0","-22.8215","-47.0694"
"93","2026-06-07 15:27:49","23.91","37","1016","1.84","258","6","0","-22.8215","-47.0694"
"94","2026-06-07 15:37:49","23.91","37","1016","1.84","258","6","0","-22.8215","-47.0694"
"95","2026-06-07 15:47:49","23.91","37","1016","1.66","245","7","0","-22.8215","-47.0694"
"96","2026-06-07 15:57:49","23.91","37","1016","1.66","245","7","0","-22.8215","-47.0694"
"97","2026-06-07 16:07:49","23.91","37","1016","1.66","245","7","0","-22.8215","-47.0694"
"98","2026-06-07 16:17:49","23.57","36","1016","1.66","245","7","0","-22.8215","-47.0694"
"99","2026-06-07 16:27:49","23.57","36","1016","1.66","245","7","0","-22.8215","-47.0694"
"100","2026-06-07 16:37:49","23.57","36","1017","1.58","199","7","0","-22.8215","-47.0694"
"101","2026-06-07 16:47:49","23.57","36","1017","1.58","199","7","0","-22.8215","-47.0694"
"102","2026-06-07 16:57:49","23.62","39","1017","1.58","199","7","0","-22.8215","-47.0694"
"103","2026-06-07 17:07:49","23.2","39","1017","1.58","199","7","0","-22.8215","-47.0694"
"104","2026-06-07 17:17:49","23.2","39","1017","1.58","199","7","0","-22.8215","-47.0694"
"105","2026-06-07 17:27:49","22.83","39","1017","1.58","199","7","0","-22.8215","-47.0694"
"106","2026-06-07 17:37:49","22.13","42","1017","1.73","167","27","0","-22.8215","-47.0694"
"107","2026-06-07 17:47:49","22.04","43","1017","1.73","167","27","0","-22.8215","-47.0694"
"108","2026-06-07 17:57:49","22.04","43","1017","1.73","167","27","0","-22.8215","-47.0694"
"109","2026-06-07 18:07:49","21.75","42","1018","1.73","167","27","0","-22.8215","-47.0694"
"110","2026-06-07 18:17:49","21.75","42","1018","1.73","167","27","0","-22.8215","-47.0694"
"111","2026-06-07 18:27:49","21.62","45","1018","1.73","167","27","0","-22.8215","-47.0694"
"112","2026-06-07 18:37:49","21.62","45","1018","1.73","167","27","0","-22.8215","-47.0694"
"113","2026-06-07 18:47:49","17.88","48","1018","1.73","139","42","0","-22.8215","-47.0694"
"114","2026-06-07 18:57:49","17.88","48","1018","1.73","139","42","0","-22.8215","-47.0694"
"115","2026-06-07 19:07:49","17.84","49","1018","1.73","139","42","0","-22.8215","-47.0694"
"116","2026-06-07 19:17:49","17.84","49","1018","1.73","139","42","0","-22.8215","-47.0694"
"117","2026-06-07 19:27:49","17.6","59","1018","1.73","139","42","0","-22.8215","-47.0694"
"118","2026-06-07 19:37:49","17.6","59","1018","1.73","139","42","0","-22.8215","-47.0694"
"119","2026-06-07 19:47:49","16.23","58","1019","1.92","118","34","0","-22.8215","-47.0694"
"120","2026-06-07 19:57:49","16.23","58","1019","1.92","118","34","0","-22.8215","-47.0694"
"121","2026-06-07 20:07:49","16.21","61","1019","1.92","118","34","0","-22.8215","-47.0694"
"122","2026-06-07 20:17:49","16.21","61","1019","1.92","118","34","0","-22.8215","-47.0694"
"123","2026-06-07 20:27:49","16.2","61","1019","1.92","118","34","0","-22.8215","-47.0694"
"124","2026-06-07 20:37:49","16.2","61","1019","1.92","118","34","0","-22.8215","-47.0694"
"125","2026-06-07 20:47:49","15.59","60","1019","2","113","29","0","-22.8215","-47.0694"
"126","2026-06-07 20:57:49","15.59","60","1019","2","113","29","0","-22.8215","-47.0694"
"127","2026-06-07 21:07:49","15.57","63","1019","2","113","29","0","-22.8215","-47.0694"
"128","2026-06-07 21:17:49","15.57","63","1019","2","113","29","0","-22.8215","-47.0694"
"129","2026-06-07 21:27:49","15.57","63","1019","2","113","29","0","-22.8215","-47.0694"
"130","2026-06-07 21:37:49","15.14","60","1020","2.27","125","100","0","-22.8215","-47.0694"
"131","2026-06-07 21:47:49","15.19","61","1020","2.27","125","100","0","-22.8215","-47.0694"
"132","2026-06-07 21:57:49","15.19","61","1020","2.27","125","100","0","-22.8215","-47.0694"
"133","2026-06-07 22:07:49","15.16","64","1020","2.27","125","100","0","-22.8215","-47.0694"
"134","2026-06-07 22:17:49","15.16","64","1020","2.27","125","100","0","-22.8215","-47.0694"
"135","2026-06-07 22:27:49","15.11","65","1020","2.27","125","100","0","-22.8215","-47.0694"
"136","2026-06-07 22:37:49","15.11","65","1020","2.27","125","100","0","-22.8215","-47.0694"
"137","2026-06-07 22:47:49","14.43","63","1020","2.37","117","100","0","-22.8215","-47.0694"
"138","2026-06-07 22:57:49","14.43","63","1020","2.37","117","100","0","-22.8215","-47.0694"
"139","2026-06-07 23:07:49","14.43","63","1020","2.37","117","100","0","-22.8215","-47.0694"
"140","2026-06-07 23:17:49","14.49","66","1020","2.37","117","100","0","-22.8215","-47.0694"
"141","2026-06-07 23:27:49","14.49","66","1020","2.37","117","100","0","-22.8215","-47.0694"
"142","2026-06-07 23:37:49","13.66","64","1020","2.23","114","69","0","-22.8215","-47.0694"
"143","2026-06-07 23:47:49","13.61","64","1020","2.23","114","69","0","-22.8215","-47.0694"
"144","2026-06-07 23:57:49","13.61","64","1020","2.23","114","69","0","-22.8215","-47.0694"
