"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"31","2026-06-05 05:07:49","14.18","80","1024","3.72","119","0","0","-22.8215","-47.0694"
"32","2026-06-05 05:17:49","13.62","81","1026","3.72","119","0","0","-22.8215","-47.0694"
"33","2026-06-05 05:27:49","13.62","81","1026","3.72","119","0","0","-22.8215","-47.0694"
"34","2026-06-05 05:37:49","13.62","81","1026","3.72","119","0","0","-22.8215","-47.0694"
"35","2026-06-05 05:47:49","13.62","81","1025","3.2","118","0","0","-22.8215","-47.0694"
"36","2026-06-05 05:57:49","13.62","81","1025","3.2","118","0","0","-22.8215","-47.0694"
"37","2026-06-05 06:07:49","13.62","82","1025","3.2","118","0","0","-22.8215","-47.0694"
"38","2026-06-05 06:17:49","13.62","82","1025","3.2","118","0","0","-22.8215","-47.0694"
"39","2026-06-05 06:27:49","13.62","82","1026","3.2","118","0","0","-22.8215","-47.0694"
"40","2026-06-05 06:37:49","13.62","82","1026","3.2","118","0","0","-22.8215","-47.0694"
"41","2026-06-05 06:47:49","13.62","82","1025","2.56","117","0","0","-22.8215","-47.0694"
"42","2026-06-05 06:57:49","13.62","82","1025","2.56","117","0","0","-22.8215","-47.0694"
"43","2026-06-05 07:07:49","13.62","82","1025","2.56","117","0","0","-22.8215","-47.0694"
"44","2026-06-05 07:17:49","13.62","80","1026","2.56","117","0","0","-22.8215","-47.0694"
"45","2026-06-05 07:27:49","13.62","80","1026","2.56","117","0","0","-22.8215","-47.0694"
"46","2026-06-05 07:37:49","13.62","80","1026","3.19","112","0","0","-22.8215","-47.0694"
"47","2026-06-05 07:47:49","13.62","80","1026","3.19","112","0","0","-22.8215","-47.0694"
"48","2026-06-05 07:57:49","13.62","80","1026","3.19","112","0","0","-22.8215","-47.0694"
"49","2026-06-05 08:07:49","15.29","70","1026","3.19","112","0","0","-22.8215","-47.0694"
"50","2026-06-05 08:17:49","15.29","70","1026","3.19","112","0","0","-22.8215","-47.0694"
"51","2026-06-05 08:27:49","15.29","70","1026","3.19","112","0","0","-22.8215","-47.0694"
"52","2026-06-05 08:37:49","15.29","70","1026","3.19","112","0","0","-22.8215","-47.0694"
"53","2026-06-05 08:47:49","15.29","70","1026","4.02","104","0","0","-22.8215","-47.0694"
"54","2026-06-05 08:57:49","15.29","70","1026","4.02","104","0","0","-22.8215","-47.0694"
"55","2026-06-05 09:07:49","22.59","68","1026","3.88","102","0","0","-22.8215","-47.0694"
"56","2026-06-05 09:17:49","22.53","45","1024","3.88","102","0","0","-22.8215","-47.0694"
"57","2026-06-05 09:27:49","22.53","45","1024","3.88","102","0","0","-22.8215","-47.0694"
"58","2026-06-05 09:37:49","23.84","48","1025","3.16","108","0","0","-22.8215","-47.0694"
"59","2026-06-05 09:47:49","23.84","48","1025","3.16","108","0","0","-22.8215","-47.0694"
"60","2026-06-05 09:57:49","24.04","48","1025","3.16","108","0","0","-22.8215","-47.0694"
"61","2026-06-05 10:07:49","24.04","48","1025","3.16","108","0","0","-22.8215","-47.0694"
"62","2026-06-05 10:17:49","23.64","43","1024","3.16","108","0","0","-22.8215","-47.0694"
"63","2026-06-05 10:27:49","23.64","43","1024","3.16","108","0","0","-22.8215","-47.0694"
"64","2026-06-05 10:37:49","21.39","45","1024","2.61","111","0","0","-22.8215","-47.0694"
"65","2026-06-05 10:47:49","22.94","41","1024","2.61","111","0","0","-22.8215","-47.0694"
"66","2026-06-05 10:57:49","22.94","41","1024","2.61","111","0","0","-22.8215","-47.0694"
"67","2026-06-05 11:07:49","22.94","41","1024","2.61","111","0","0","-22.8215","-47.0694"
"68","2026-06-05 11:17:49","22.94","41","1024","2.61","111","0","0","-22.8215","-47.0694"
"69","2026-06-05 11:27:49","23.49","39","1024","2.61","111","0","0","-22.8215","-47.0694"
"70","2026-06-05 11:37:49","23.49","39","1024","2.58","115","0","0","-22.8215","-47.0694"
"71","2026-06-05 11:47:49","23.49","39","1024","2.58","115","0","0","-22.8215","-47.0694"
"72","2026-06-05 11:57:49","23.49","40","1024","2.58","115","0","0","-22.8215","-47.0694"
"73","2026-06-05 12:07:49","24.05","40","1024","2.58","115","0","0","-22.8215","-47.0694"
"74","2026-06-05 12:17:49","24.05","40","1024","2.58","115","0","0","-22.8215","-47.0694"
"75","2026-06-05 12:27:49","23.49","38","1024","2.58","115","0","0","-22.8215","-47.0694"
"76","2026-06-05 12:37:49","23.49","38","1024","2.58","115","0","0","-22.8215","-47.0694"
"77","2026-06-05 12:47:49","24.05","38","1023","2.72","120","0","0","-22.8215","-47.0694"
"78","2026-06-05 12:57:49","24.05","38","1023","2.72","120","0","0","-22.8215","-47.0694"
"79","2026-06-05 13:07:49","23.12","40","1023","2.72","120","0","0","-22.8215","-47.0694"
"80","2026-06-05 13:17:49","23.12","40","1023","2.72","120","0","0","-22.8215","-47.0694"
"81","2026-06-05 13:27:49","23.12","39","1023","2.72","120","0","0","-22.8215","-47.0694"
"82","2026-06-05 13:37:49","23.12","39","1023","2.72","120","0","0","-22.8215","-47.0694"
"83","2026-06-05 13:47:49","23.12","39","1022","3.14","125","0","0","-22.8215","-47.0694"
"84","2026-06-05 13:57:49","23.12","39","1022","3.14","125","0","0","-22.8215","-47.0694"
"85","2026-06-05 14:07:49","24.6","35","1022","3.14","125","0","0","-22.8215","-47.0694"
"86","2026-06-05 14:17:49","24.6","35","1022","3.14","125","0","0","-22.8215","-47.0694"
"87","2026-06-05 14:27:49","23","40","1023","3.14","125","0","0","-22.8215","-47.0694"
"88","2026-06-05 14:37:49","23","40","1021","3.55","127","0","0","-22.8215","-47.0694"
"89","2026-06-05 14:47:49","23","41","1021","3.55","127","0","0","-22.8215","-47.0694"
"90","2026-06-05 14:57:49","24.6","35","1021","3.43","126","0","0","-22.8215","-47.0694"
"91","2026-06-05 15:07:49","24.6","35","1021","3.43","126","0","0","-22.8215","-47.0694"
"92","2026-06-05 15:17:49","24.6","35","1021","3.43","126","0","0","-22.8215","-47.0694"
"93","2026-06-05 15:27:49","25.16","35","1021","3.43","126","0","0","-22.8215","-47.0694"
"94","2026-06-05 15:37:49","25.16","35","1021","4.09","133","6","0","-22.8215","-47.0694"
"95","2026-06-05 15:47:49","25.16","35","1021","4.09","133","6","0","-22.8215","-47.0694"
"96","2026-06-05 15:57:49","21.4","45","1021","4.09","133","6","0","-22.8215","-47.0694"
"97","2026-06-05 16:07:49","21.4","45","1021","4.09","133","6","0","-22.8215","-47.0694"
"98","2026-06-05 16:17:49","25.16","36","1021","4.09","133","6","0","-22.8215","-47.0694"
"99","2026-06-05 16:27:49","25.16","36","1021","4.09","133","6","0","-22.8215","-47.0694"
"100","2026-06-05 16:37:49","25.72","35","1021","3.69","133","15","0","-22.8215","-47.0694"
"101","2026-06-05 16:47:49","25.72","35","1021","3.69","133","15","0","-22.8215","-47.0694"
"102","2026-06-05 16:57:49","20.85","77","1021","3.69","133","15","0","-22.8215","-47.0694"
"103","2026-06-05 17:07:49","20.85","77","1021","3.69","133","15","0","-22.8215","-47.0694"
"104","2026-06-05 17:17:49","16.96","91","1022","3.69","133","15","0","-22.8215","-47.0694"
"105","2026-06-05 17:27:49","16.96","91","1022","3.69","133","15","0","-22.8215","-47.0694"
"106","2026-06-05 17:37:49","16.96","91","1022","3.69","133","15","0","-22.8215","-47.0694"
"107","2026-06-05 17:47:49","16.96","91","1022","3.41","132","33","0","-22.8215","-47.0694"
"108","2026-06-05 17:57:49","16.96","91","1022","3.41","132","33","0","-22.8215","-47.0694"
"109","2026-06-05 18:07:49","16.4","85","1023","3.41","132","33","0","-22.8215","-47.0694"
"110","2026-06-05 18:17:49","16.4","85","1023","3.41","132","33","0","-22.8215","-47.0694"
"111","2026-06-05 18:27:49","16.4","85","1023","3.41","132","33","0","-22.8215","-47.0694"
"112","2026-06-05 18:37:49","16.4","85","1022","3.32","135","28","0","-22.8215","-47.0694"
"113","2026-06-05 18:47:49","16.4","85","1022","3.32","135","28","0","-22.8215","-47.0694"
"114","2026-06-05 18:57:49","16.4","85","1022","3.32","135","28","0","-22.8215","-47.0694"
"115","2026-06-05 19:07:49","15.85","84","1023","3.32","135","28","0","-22.8215","-47.0694"
"116","2026-06-05 19:17:49","15.85","84","1024","3.32","135","28","0","-22.8215","-47.0694"
"117","2026-06-05 19:27:49","15.85","84","1024","3.32","135","28","0","-22.8215","-47.0694"
"118","2026-06-05 19:37:49","15.85","84","1023","4.03","136","23","0","-22.8215","-47.0694"
"119","2026-06-05 19:47:49","15.85","84","1023","4.03","136","23","0","-22.8215","-47.0694"
"120","2026-06-05 19:57:49","15.85","84","1023","4.03","136","23","0","-22.8215","-47.0694"
"121","2026-06-05 20:07:49","15.85","84","1023","4.03","136","23","0","-22.8215","-47.0694"
"122","2026-06-05 20:17:49","15.29","86","1024","4.03","136","23","0","-22.8215","-47.0694"
"123","2026-06-05 20:27:49","15.29","86","1024","4.03","136","23","0","-22.8215","-47.0694"
"124","2026-06-05 20:37:49","15.29","86","1024","4.03","136","23","0","-22.8215","-47.0694"
"125","2026-06-05 20:47:49","15.29","86","1023","3.86","140","21","0","-22.8215","-47.0694"
"126","2026-06-05 20:57:49","15.29","86","1023","3.86","140","21","0","-22.8215","-47.0694"
"127","2026-06-05 21:07:49","14.73","85","1023","3.51","139","22","0","-22.8215","-47.0694"
"128","2026-06-05 21:17:49","14.73","85","1023","3.51","139","22","0","-22.8215","-47.0694"
"129","2026-06-05 21:27:49","14.73","85","1025","3.51","139","22","0","-22.8215","-47.0694"
"130","2026-06-05 21:37:49","14.73","85","1024","3.54","136","4","0","-22.8215","-47.0694"
"131","2026-06-05 21:47:49","14.73","85","1024","3.54","136","4","0","-22.8215","-47.0694"
"132","2026-06-05 21:57:49","14.73","85","1024","3.54","136","4","0","-22.8215","-47.0694"
"133","2026-06-05 22:07:49","14.73","85","1024","3.54","136","4","0","-22.8215","-47.0694"
"134","2026-06-05 22:17:49","14.73","88","1024","3.54","136","4","0","-22.8215","-47.0694"
"135","2026-06-05 22:27:49","14.73","88","1024","3.54","136","4","0","-22.8215","-47.0694"
"136","2026-06-05 22:37:49","14.73","88","1023","3.43","132","10","0","-22.8215","-47.0694"
"137","2026-06-05 22:47:49","14.73","88","1023","3.43","132","10","0","-22.8215","-47.0694"
"138","2026-06-05 22:57:49","14.73","88","1023","3.43","132","10","0","-22.8215","-47.0694"
"139","2026-06-05 23:07:49","13.62","89","1024","3.43","132","10","0","-22.8215","-47.0694"
"140","2026-06-05 23:17:49","13.62","89","1024","3.43","132","10","0","-22.8215","-47.0694"
"141","2026-06-05 23:27:49","13.62","89","1025","3.43","132","10","0","-22.8215","-47.0694"
"142","2026-06-05 23:37:49","13.62","89","1025","3.43","132","10","0","-22.8215","-47.0694"
"143","2026-06-05 23:47:49","13.62","89","1023","2.88","116","37","0","-22.8215","-47.0694"
"144","2026-06-05 23:57:49","13.62","89","1023","2.88","116","37","0","-22.8215","-47.0694"
