Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 01:27:32,-105,-1.7999999523162842,47453,5
2026-06-12 01:28:32,-106,-1.7999999523162842,47454,5
2026-06-12 01:29:32,-105,-1.5,47455,5
2026-06-12 01:30:32,-106,-1.2999999523162842,47456,5
2026-06-12 01:31:32,-105,-1.2999999523162842,47457,5
2026-06-12 01:32:32,-105,-1.0,47458,5
2026-06-12 01:33:32,-105,-0.5,47459,5
2026-06-12 01:34:32,-105,-1.0,47460,5
2026-06-12 01:36:32,-105,-1.2999999523162842,47462,5
2026-06-12 01:37:32,-105,-3.5,47463,5
2026-06-12 01:38:32,-105,-2.799999952316284,47464,5
2026-06-12 01:39:32,-104,-3.0,47465,5
2026-06-12 01:40:32,-106,-1.5,47466,5
2026-06-12 01:41:32,-106,-1.7999999523162842,47467,5
2026-06-12 01:42:32,-103,-5.800000190734863,47468,5
2026-06-12 01:43:32,-105,-1.5,47469,5
2026-06-12 01:44:32,-105,-2.0,47470,5
2026-06-12 01:45:32,-105,-1.5,47471,5
2026-06-12 01:46:32,-106,-1.2999999523162842,47472,5
2026-06-12 01:47:32,-105,-1.0,47473,5
2026-06-12 01:48:32,-105,-1.7999999523162842,47474,5
2026-06-12 01:50:32,-105,-2.299999952316284,47476,5
2026-06-12 01:51:32,-105,-0.800000011920929,47477,5
2026-06-12 01:52:32,-107,-0.800000011920929,47478,5
2026-06-12 01:53:32,-109,-1.0,47479,5
2026-06-12 01:54:32,-105,-1.2999999523162842,47480,5
2026-06-12 01:55:32,-105,-1.0,47481,5
2026-06-12 01:56:32,-105,-1.2999999523162842,47482,5
2026-06-12 01:57:32,-105,-1.2999999523162842,47483,5
2026-06-12 01:58:32,-107,-1.0,47484,5
2026-06-12 01:59:32,-105,-2.0,47485,5
