"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"55","2026-06-04 09:07:49","22.31","77","1028","3.87","107","0","0","-22.8215","-47.0694"
"56","2026-06-04 09:17:49","22.31","77","1028","3.87","107","0","0","-22.8215","-47.0694"
"57","2026-06-04 09:27:49","21.85","52","1027","3.87","107","0","0","-22.8215","-47.0694"
"58","2026-06-04 09:37:49","21.85","52","1027","3.87","107","0","0","-22.8215","-47.0694"
"59","2026-06-04 09:47:49","22.78","53","1027","3.35","104","0","0","-22.8215","-47.0694"
"60","2026-06-04 09:57:49","22.78","53","1027","3.35","104","0","0","-22.8215","-47.0694"
"61","2026-06-04 10:07:49","22.78","53","1027","3.35","104","0","0","-22.8215","-47.0694"
"62","2026-06-04 10:17:49","22.94","48","1026","3.35","104","0","0","-22.8215","-47.0694"
"63","2026-06-04 10:27:49","22.94","48","1026","3.35","104","0","0","-22.8215","-47.0694"
"64","2026-06-04 10:37:49","22.94","48","1026","2.51","101","0","0","-22.8215","-47.0694"
"65","2026-06-04 10:47:49","23.49","47","1026","2.51","101","0","0","-22.8215","-47.0694"
"66","2026-06-04 10:57:49","23.49","47","1026","2.51","101","0","0","-22.8215","-47.0694"
"67","2026-06-04 11:07:49","23.49","47","1027","2.51","101","0","0","-22.8215","-47.0694"
"68","2026-06-04 11:17:49","23.49","47","1027","2.51","101","0","0","-22.8215","-47.0694"
"69","2026-06-04 11:27:49","23.49","46","1027","2.51","101","0","0","-22.8215","-47.0694"
"70","2026-06-04 11:37:49","23.49","46","1027","2.51","101","0","0","-22.8215","-47.0694"
"71","2026-06-04 11:47:49","24.05","45","1026","1.63","103","0","0","-22.8215","-47.0694"
"72","2026-06-04 11:57:49","24.05","45","1026","1.63","103","0","0","-22.8215","-47.0694"
"73","2026-06-04 12:07:49","24.05","44","1025","1.63","103","0","0","-22.8215","-47.0694"
"74","2026-06-04 12:17:49","24.05","44","1025","1.63","103","0","0","-22.8215","-47.0694"
"75","2026-06-04 12:27:49","24.05","44","1025","1.63","103","0","0","-22.8215","-47.0694"
"76","2026-06-04 12:37:49","24.05","43","1024","1.46","136","0","0","-22.8215","-47.0694"
"77","2026-06-04 12:47:49","24.05","43","1024","1.46","136","0","0","-22.8215","-47.0694"
"78","2026-06-04 12:57:49","24.6","42","1024","1.46","136","0","0","-22.8215","-47.0694"
"79","2026-06-04 13:07:49","24.6","42","1024","1.46","136","0","0","-22.8215","-47.0694"
"80","2026-06-04 13:17:49","24.6","41","1025","1.46","136","0","0","-22.8215","-47.0694"
"81","2026-06-04 13:27:49","24.6","43","1025","1.46","136","0","0","-22.8215","-47.0694"
"82","2026-06-04 13:37:49","24.6","43","1025","1.46","136","0","0","-22.8215","-47.0694"
"83","2026-06-04 13:47:49","25.16","41","1024","2.08","141","0","0","-22.8215","-47.0694"
"84","2026-06-04 13:57:49","25.16","41","1024","2.08","141","0","0","-22.8215","-47.0694"
"85","2026-06-04 14:07:49","24.57","44","1024","2.08","141","0","0","-22.8215","-47.0694"
"86","2026-06-04 14:17:49","24.57","44","1024","2.08","141","0","0","-22.8215","-47.0694"
"87","2026-06-04 14:27:49","24.57","43","1024","2.08","141","0","0","-22.8215","-47.0694"
"88","2026-06-04 14:37:49","24.57","43","1023","2.87","139","0","0","-22.8215","-47.0694"
"89","2026-06-04 14:47:49","24.57","43","1023","2.87","139","0","0","-22.8215","-47.0694"
"90","2026-06-04 14:57:49","24.57","43","1023","2.72","139","0","0","-22.8215","-47.0694"
"91","2026-06-04 15:07:49","24.57","43","1023","2.72","139","0","0","-22.8215","-47.0694"
"92","2026-06-04 15:17:49","24.45","45","1023","2.72","139","0","0","-22.8215","-47.0694"
"93","2026-06-04 15:27:49","24.45","45","1023","2.72","139","0","0","-22.8215","-47.0694"
"94","2026-06-04 15:37:49","24.45","45","1023","4.31","135","0","0","-22.8215","-47.0694"
"95","2026-06-04 15:47:49","24.45","45","1023","4.31","135","0","0","-22.8215","-47.0694"
"96","2026-06-04 15:57:49","24.45","45","1023","4.31","135","0","0","-22.8215","-47.0694"
"97","2026-06-04 16:07:49","25.72","41","1024","4.31","135","0","0","-22.8215","-47.0694"
"98","2026-06-04 16:17:49","25.72","41","1024","4.31","135","0","0","-22.8215","-47.0694"
"99","2026-06-04 16:27:49","25.72","40","1023","4.31","135","0","0","-22.8215","-47.0694"
"100","2026-06-04 16:37:49","25.72","40","1023","4.31","135","0","0","-22.8215","-47.0694"
"101","2026-06-04 16:47:49","22.51","51","1023","5.19","133","0","0","-22.8215","-47.0694"
"102","2026-06-04 16:57:49","22.51","51","1023","5.19","133","0","0","-22.8215","-47.0694"
"103","2026-06-04 17:07:49","22.51","51","1023","5.19","133","0","0","-22.8215","-47.0694"
"104","2026-06-04 17:17:49","20.85","55","1024","5.19","133","0","0","-22.8215","-47.0694"
"105","2026-06-04 17:27:49","20.85","55","1024","5.19","133","0","0","-22.8215","-47.0694"
"106","2026-06-04 17:37:49","20.85","55","1024","5.35","133","0","0","-22.8215","-47.0694"
"107","2026-06-04 17:47:49","20.85","55","1024","5.35","133","0","0","-22.8215","-47.0694"
"108","2026-06-04 17:57:49","20.85","55","1024","5.35","133","0","0","-22.8215","-47.0694"
"109","2026-06-04 18:07:49","19.18","61","1024","5.35","133","0","0","-22.8215","-47.0694"
"110","2026-06-04 18:17:49","19.18","61","1024","5.35","133","0","0","-22.8215","-47.0694"
"111","2026-06-04 18:27:49","19.18","61","1025","5.35","133","0","0","-22.8215","-47.0694"
"112","2026-06-04 18:37:49","19.18","61","1025","5.35","133","0","0","-22.8215","-47.0694"
"113","2026-06-04 18:47:49","19.18","61","1024","5.79","132","0","0","-22.8215","-47.0694"
"114","2026-06-04 18:57:49","19.18","61","1024","5.79","132","0","0","-22.8215","-47.0694"
"115","2026-06-04 19:07:49","19.18","61","1024","5.79","132","0","0","-22.8215","-47.0694"
"116","2026-06-04 19:17:49","18.07","71","1025","5.79","132","0","0","-22.8215","-47.0694"
"117","2026-06-04 19:27:49","18.07","71","1025","5.79","132","0","0","-22.8215","-47.0694"
"118","2026-06-04 19:37:49","18.07","71","1025","5.79","132","0","0","-22.8215","-47.0694"
"119","2026-06-04 19:47:49","18.07","71","1025","6.05","129","0","0","-22.8215","-47.0694"
"120","2026-06-04 19:57:49","18.07","71","1025","6.05","129","0","0","-22.8215","-47.0694"
"121","2026-06-04 20:07:49","18.07","71","1025","6.05","129","0","0","-22.8215","-47.0694"
"122","2026-06-04 20:17:49","16.96","76","1026","6.05","129","0","0","-22.8215","-47.0694"
"123","2026-06-04 20:27:49","16.96","76","1026","6.05","129","0","0","-22.8215","-47.0694"
"124","2026-06-04 20:37:49","16.96","76","1026","6.05","129","0","0","-22.8215","-47.0694"
"125","2026-06-04 20:47:49","16.96","76","1025","5.92","126","0","0","-22.8215","-47.0694"
"126","2026-06-04 20:57:49","16.96","76","1025","5.92","126","0","0","-22.8215","-47.0694"
"127","2026-06-04 21:07:49","16.4","79","1026","5.92","126","0","0","-22.8215","-47.0694"
"128","2026-06-04 21:17:49","16.4","79","1026","5.92","126","0","0","-22.8215","-47.0694"
"129","2026-06-04 21:27:49","16.4","79","1026","5.92","126","0","0","-22.8215","-47.0694"
"130","2026-06-04 21:37:49","16.4","79","1025","5.07","125","0","0","-22.8215","-47.0694"
"131","2026-06-04 21:47:49","16.4","79","1025","5.07","125","0","0","-22.8215","-47.0694"
"132","2026-06-04 21:57:49","16.4","79","1025","5.07","125","0","0","-22.8215","-47.0694"
"133","2026-06-04 22:07:49","15.85","80","1026","5.07","125","0","0","-22.8215","-47.0694"
"134","2026-06-04 22:17:49","15.85","80","1026","5.07","125","0","0","-22.8215","-47.0694"
"135","2026-06-04 22:27:49","15.85","80","1026","5.07","125","0","0","-22.8215","-47.0694"
"136","2026-06-04 22:37:49","15.85","80","1026","4.92","118","0","0","-22.8215","-47.0694"
"137","2026-06-04 22:47:49","15.85","80","1026","4.92","118","0","0","-22.8215","-47.0694"
"138","2026-06-04 22:57:49","15.85","80","1026","4.92","118","0","0","-22.8215","-47.0694"
"139","2026-06-04 23:07:49","15.85","80","1026","4.92","118","0","0","-22.8215","-47.0694"
"140","2026-06-04 23:17:49","15.29","82","1027","4.92","118","0","0","-22.8215","-47.0694"
"141","2026-06-04 23:27:49","15.29","82","1027","4.92","118","0","0","-22.8215","-47.0694"
"142","2026-06-04 23:37:49","15.29","82","1026","4.78","119","0","0","-22.8215","-47.0694"
"143","2026-06-04 23:47:49","15.29","82","1026","4.78","119","0","0","-22.8215","-47.0694"
"144","2026-06-04 23:57:49","15.29","82","1026","4.78","119","0","0","-22.8215","-47.0694"
